path,schema_id,category,study,dataset_inferred,rows,columns,header,bytes,sha256
data/raw_results/ddp/gplus_n10000_ddp_phase2_robust.csv,schema_01,raw_result_csv,ddp,Gplus,1935,29,run|attack|n|eps|eps1|eps2|delta|h_prime|h|mal_ratio|mal_count|orig_poison_prob|lap_strength|edges_clean|edges_protocol|changed_edges|clean_triangles|protocol_triangles|lambda|max_d_tail|max_c_dagger|estimate|rel_clean|rel_protocol|changed_reports|bias_sum|phase2_noise_sum|time_sec|seed,494489,4ca4b0d87a72e1593e57faad09d836652246cac90791171a8cc4bda69a3a78fd
data/raw_results/ddp/imdb_n10000_ddp_phase2_robust.csv,schema_01,raw_result_csv,ddp,IMDB,1935,29,run|attack|n|eps|eps1|eps2|delta|h_prime|h|mal_ratio|mal_count|orig_poison_prob|lap_strength|edges_clean|edges_protocol|changed_edges|clean_triangles|protocol_triangles|lambda|max_d_tail|max_c_dagger|estimate|rel_clean|rel_protocol|changed_reports|bias_sum|phase2_noise_sum|time_sec|seed,461706,2cf1c2b73a5c8e52e6428cacafe1a73275cba933125193b0e74222197c284383
data/raw_results/defense/gplus_ddp_lap_local_inc_defense.csv,schema_02,raw_result_csv,defense,Gplus,15,32,run|protocol|attack|epsilon|malicious_ratio|malicious_count|selector|poison_prob|attack_strength|clean_edges|protocol_edges|changed_edges|changed_reports|clean_triangles|protocol_triangles|attack_estimate|defense_estimate|rel_attack_clean|rel_defense_clean|defense_reduction|detected_users|mean_weight|mean_mal_weight|mean_honest_weight|gamma|tau|smooth|candidate_multiplier|min_weight|normalize_weights|seconds|seed,5367,05a712c8c6b01518d431081eec9d6ff4e13bc64b2e5df50f77d8f3463872d752
data/raw_results/defense/gplus_ddp_lap_scale_inc_defense.csv,schema_03,raw_result_csv,defense,Gplus,15,29,run|protocol|attack|epsilon|malicious_ratio|malicious_count|selector|poison_prob|attack_strength|clean_edges|protocol_edges|changed_edges|changed_reports|clean_triangles|protocol_triangles|attack_estimate|defense_estimate|rel_attack_clean|rel_defense_clean|defense_reduction|detected_users|mean_weight|mean_mal_weight|mean_honest_weight|gamma|tau|smooth|seconds|seed,4906,4f628cbcf12852359e9998c1bb208c5371ab4ab657012cbf52cb627dbc50144b
data/raw_results/defense/gplus_edgeorient_rr_inc_defense.csv,schema_02,raw_result_csv,defense,Gplus,15,32,run|protocol|attack|epsilon|malicious_ratio|malicious_count|selector|poison_prob|attack_strength|clean_edges|protocol_edges|changed_edges|changed_reports|clean_triangles|protocol_triangles|attack_estimate|defense_estimate|rel_attack_clean|rel_defense_clean|defense_reduction|detected_users|mean_weight|mean_mal_weight|mean_honest_weight|gamma|tau|smooth|candidate_multiplier|min_weight|normalize_weights|seconds|seed,5404,df966b6fc61be8fd53cbed13da8ced18dfe5162d869099940e43edf11bfab81b
data/raw_results/defense/gplus_genshuffledp_rr_inc_defense.csv,schema_02,raw_result_csv,defense,Gplus,15,32,run|protocol|attack|epsilon|malicious_ratio|malicious_count|selector|poison_prob|attack_strength|clean_edges|protocol_edges|changed_edges|changed_reports|clean_triangles|protocol_triangles|attack_estimate|defense_estimate|rel_attack_clean|rel_defense_clean|defense_reduction|detected_users|mean_weight|mean_mal_weight|mean_honest_weight|gamma|tau|smooth|candidate_multiplier|min_weight|normalize_weights|seconds|seed,5404,b3b36b2b13b67182e139a0af8f30bf5615ed5e0cac4e3140d57fe557b9b23260
data/raw_results/defense/gplus_ldp2022_arronens_orig_inc_defense.csv,schema_02,raw_result_csv,defense,Gplus,15,32,run|protocol|attack|epsilon|malicious_ratio|malicious_count|selector|poison_prob|attack_strength|clean_edges|protocol_edges|changed_edges|changed_reports|clean_triangles|protocol_triangles|attack_estimate|defense_estimate|rel_attack_clean|rel_defense_clean|defense_reduction|detected_users|mean_weight|mean_mal_weight|mean_honest_weight|gamma|tau|smooth|candidate_multiplier|min_weight|normalize_weights|seconds|seed,5460,52ff80549b8b7789e8dbac5a0d6c9976573a7b1931d39b7f131602bfe185e245
data/raw_results/defense/gplus_privet_lap_local_inc_defense.csv,schema_02,raw_result_csv,defense,Gplus,15,32,run|protocol|attack|epsilon|malicious_ratio|malicious_count|selector|poison_prob|attack_strength|clean_edges|protocol_edges|changed_edges|changed_reports|clean_triangles|protocol_triangles|attack_estimate|defense_estimate|rel_attack_clean|rel_defense_clean|defense_reduction|detected_users|mean_weight|mean_mal_weight|mean_honest_weight|gamma|tau|smooth|candidate_multiplier|min_weight|normalize_weights|seconds|seed,5412,cc87cca1a867e4db068f5dff7fcbf39434249be875aa397920d09f78f434ede7
data/raw_results/defense/gplus_privet_lap_scale_inc_defense.csv,schema_03,raw_result_csv,defense,Gplus,15,29,run|protocol|attack|epsilon|malicious_ratio|malicious_count|selector|poison_prob|attack_strength|clean_edges|protocol_edges|changed_edges|changed_reports|clean_triangles|protocol_triangles|attack_estimate|defense_estimate|rel_attack_clean|rel_defense_clean|defense_reduction|detected_users|mean_weight|mean_mal_weight|mean_honest_weight|gamma|tau|smooth|seconds|seed,4951,271d034070d544e099f912a9bc352d69e957e12ac961a462f1c7b0c32061fece
data/raw_results/defense/gplus_tdpvc_rr_inc_defense.csv,schema_02,raw_result_csv,defense,Gplus,15,32,run|protocol|attack|epsilon|malicious_ratio|malicious_count|selector|poison_prob|attack_strength|clean_edges|protocol_edges|changed_edges|changed_reports|clean_triangles|protocol_triangles|attack_estimate|defense_estimate|rel_attack_clean|rel_defense_clean|defense_reduction|detected_users|mean_weight|mean_mal_weight|mean_honest_weight|gamma|tau|smooth|candidate_multiplier|min_weight|normalize_weights|seconds|seed,5344,e500f3c9f2779061517a17ec95df7541398c72e2b76eb84f0f7908f0b1bf4750
data/raw_results/defense/logs_all_defense_gplus_n10000_r3_20260611_031107/run_status.csv,schema_04,raw_result_csv,defense,Gplus,6,5,experiment|status|start_time|end_time|log_file,1165,6f02afa8ef2fae749b6b49068aa875febe6d93e49bf781d1c68e14102d97cf73
data/raw_results/defense/logs_all_defense_gplus_n10000_r3_20260611_101904/run_status.csv,schema_04,raw_result_csv,defense,Gplus,6,5,experiment|status|start_time|end_time|log_file,1165,d1064b08d61849d1636eae6d6b77e2d1a0dac83fb638a3223252c6042e14b068
data/raw_results/edge_orient_vldb/gplus/13pct_1edgeorientdelta_original_decrease_results.csv,schema_05,raw_result_csv,edge_orient_vldb,Gplus,15,43,edge_file|n_header|n_used|attack_type|malicious_ratio|poison_prob|malicious_nodes|added_edges|removed_edges|clean_m_used|poisoned_m_used|clean_exact_triangles|poisoned_exact_triangles|load_seconds|clean_exact_seconds|poisoned_exact_seconds|epsilon|psi|workers|runs|run|noise|seed|split_factor|bias_factor|dmax_slack_multiplier|estimate|abs_error_vs_clean|relative_error_vs_clean|abs_error_vs_poisoned|relative_error_vs_poisoned|max_noisy_out_degree_before_slack|dmax_slack|max_noisy_out_degree|kcore_rounds_cap|kcore_rounds_run|kcore_max_threshold|levels_per_group|kcore_seconds|rr_seconds|maxout_seconds|count_seconds|total_seconds,6902,028145009436211197bea4cd4080dba3d2866fe78eeca33874ec1ea660a15396
data/raw_results/edge_orient_vldb/gplus/13pct_1edgeorientdelta_original_increase_results.csv,schema_05,raw_result_csv,edge_orient_vldb,Gplus,15,43,edge_file|n_header|n_used|attack_type|malicious_ratio|poison_prob|malicious_nodes|added_edges|removed_edges|clean_m_used|poisoned_m_used|clean_exact_triangles|poisoned_exact_triangles|load_seconds|clean_exact_seconds|poisoned_exact_seconds|epsilon|psi|workers|runs|run|noise|seed|split_factor|bias_factor|dmax_slack_multiplier|estimate|abs_error_vs_clean|relative_error_vs_clean|abs_error_vs_poisoned|relative_error_vs_poisoned|max_noisy_out_degree_before_slack|dmax_slack|max_noisy_out_degree|kcore_rounds_cap|kcore_rounds_run|kcore_max_threshold|levels_per_group|kcore_seconds|rr_seconds|maxout_seconds|count_seconds|total_seconds,7052,4679a97e91e10d9594a141c274ca9e17192ec37466e8585819398b2dda034d52
data/raw_results/edge_orient_vldb/gplus/15pct_1edgeorientdelta_original_decrease_results.csv,schema_05,raw_result_csv,edge_orient_vldb,Gplus,15,43,edge_file|n_header|n_used|attack_type|malicious_ratio|poison_prob|malicious_nodes|added_edges|removed_edges|clean_m_used|poisoned_m_used|clean_exact_triangles|poisoned_exact_triangles|load_seconds|clean_exact_seconds|poisoned_exact_seconds|epsilon|psi|workers|runs|run|noise|seed|split_factor|bias_factor|dmax_slack_multiplier|estimate|abs_error_vs_clean|relative_error_vs_clean|abs_error_vs_poisoned|relative_error_vs_poisoned|max_noisy_out_degree_before_slack|dmax_slack|max_noisy_out_degree|kcore_rounds_cap|kcore_rounds_run|kcore_max_threshold|levels_per_group|kcore_seconds|rr_seconds|maxout_seconds|count_seconds|total_seconds,6904,aa8b70ea03681082f0c3aa60cc140c9bc1d0ff62505c455be9d408cdb2fde543
data/raw_results/edge_orient_vldb/gplus/15pct_1edgeorientdelta_original_increase_results.csv,schema_05,raw_result_csv,edge_orient_vldb,Gplus,15,43,edge_file|n_header|n_used|attack_type|malicious_ratio|poison_prob|malicious_nodes|added_edges|removed_edges|clean_m_used|poisoned_m_used|clean_exact_triangles|poisoned_exact_triangles|load_seconds|clean_exact_seconds|poisoned_exact_seconds|epsilon|psi|workers|runs|run|noise|seed|split_factor|bias_factor|dmax_slack_multiplier|estimate|abs_error_vs_clean|relative_error_vs_clean|abs_error_vs_poisoned|relative_error_vs_poisoned|max_noisy_out_degree_before_slack|dmax_slack|max_noisy_out_degree|kcore_rounds_cap|kcore_rounds_run|kcore_max_threshold|levels_per_group|kcore_seconds|rr_seconds|maxout_seconds|count_seconds|total_seconds,7082,f87364b44406864796237094409808f841faaad9fc87f5c72b94655c6ecb2aad
